350
48 1000
20 11 133760
5 23 165251
7 18 114427
21 9 189416
21 15 206415
33 6 195293
33 44 258855
44 24 66505
19 36 186429
14 18 196580
22 3 157041
44 31 157086
23 29 177857
4 31 113882
18 29 186054
2 11 211498
24 7 92881
30 42 81733
46 24 137259
27 6 247916
42 32 97805
37 44 121915
5 40 101575
37 32 92572
27 22 68936
17 10 225235
35 36 154745
4 14 119999
29 21 169305
37 30 84507
4 39 165721
29 8 114802
19 4 188671
10 34 187745
2 27 257837
21 3 86833
12 34 137558
16 21 61349
33 32 228712
26 35 139149
14 25 130738
19 21 211575
42 22 101683
40 45 161043
10 36 147514
25 38 176519
17 20 180888
5 2 81284
11 25 83754
7 30 121439
18 43 216079
32 36 91974
31 5 208823
5 33 275996
9 3 112221
43 3 160373
40 11 128814
33 19 282263
6 5 80703
24 21 124497
30 12 58280
35 17 182738
30 29 115185
22 13 94270
31 18 209046
9 8 184558
18 11 229047
9 43 141477
15 2 84140
28 27 156311
37 39 107116
44 35 138327
37 38 211374
21 34 189094
30 19 121797
1 44 150229
22 39 69060
37 3 172187
45 9 169249
37 2 162534
4 2 184272
2 42 154702
10 23 177746
45 36 183587
43 13 182315
18 44 155252
13 42 7413
38 41 175092
16 6 170677
12 35 136317
9 36 157390
14 9 165244
19 46 127116
17 26 100806
34 37 166103
1 20 77978
14 5 161633
44 34 161548
10 3 176383
25 2 215980
27 45 188904
26 20 83202
32 22 152582
27 1 251619
30 11 21969
36 29 157246
15 14 128364
15 35 183426
42 10 92555
13 1 117476
38 5 105859
9 20 189524
24 17 179135
42 35 127690
4 29 175564
13 17 188801
4 6 130830
9 37 157988
38 1 70888
34 11 103565
29 39 144954
18 40 136522
16 42 181959
34 42 114105
37 23 30830
32 46 123682
18 35 86801
8 31 193311
35 8 154175
41 36 133330
36 5 195483
28 38 171783
3 13 195079
12 19 100048
34 5 204361
28 15 116843
3 40 73368
1 11 77948
25 41 13560
42 4 142112
22 1 188270
1 42 110063
32 30 16072
1 24 130326
25 46 67104
12 36 143385
26 11 146685
6 29 204118
29 14 130541
36 33 271044
41 29 125933
38 24 187679
4 37 78711
7 19 163207
40 16 170821
7 16 156029
39 25 129031
10 9 157621
20 5 96629
3 36 171589
1 28 100895
11 46 129579
18 45 242289
9 12 144217
9 13 160257
10 11 196257
9 33 237903
12 39 88049
21 17 201429
7 22 141389
40 32 122917
5 44 168329
32 41 64297
20 37 103765
32 1 72051
44 23 114623
29 26 161820
18 42 201039
41 24 149424
22 4 96661
16 17 195681
14 23 146767
20 22 195852
8 26 215670
4 21 101196
21 45 91826
33 11 234609
3 28 198030
25 30 61785
12 18 177586
32 20 127863
19 37 187027
41 45 173985
46 26 95272
13 27 163206
12 20 135523
5 26 179831
40 34 136818
42 7 86612
39 5 156515
23 15 153682
26 6 137865
29 32 116115
9 7 81058
33 39 267554
22 11 118101
35 39 104661
32 43 142142
31 32 93206
29 38 188455
21 46 164654
25 32 77857
4 12 118659
21 6 156444
4 41 126123
39 18 191462
27 32 211765
43 15 206834
46 29 66548
46 10 183359
22 26 180640
8 13 73937
7 21 217378
34 3 178724
28 43 165050
17 29 225346
44 9 45016
34 30 81596
1 8 109789
10 12 116008
1 41 104204
40 7 111976
20 40 4946
37 24 102012
5 45 207342
15 32 121461
41 7 169664
17 1 181282
42 43 189728
22 15 125339
27 39 137996
41 12 106505
14 21 87580
19 32 137869
33 28 285869
33 34 139968
45 11 147729
13 10 99968
11 13 96289
1 9 152270
18 34 204584
32 18 238479
44 41 169327
14 10 152891
33 29 220621
21 33 274933
33 26 320161
2 45 198729
22 9 184881
33 30 212640
9 38 144347
6 20 147925
24 11 164550
18 38 140806
16 41 165970
32 17 109231
16 30 202851
15 13 63149
44 21 144400
46 17 192958
34 6 148954
13 6 169205
29 1 143515
19 27 160946
20 35 148483
27 12 147166
31 24 90581
27 44 187798
4 33 229773
20 34 131872
37 21 124306
41 27 147839
7 25 183224
40 28 173557
22 36 139319
15 34 184667
6 40 142979
24 14 143300
28 30 128014
40 38 119344
15 7 16050
6 19 86970
2 24 160971
45 29 77479
14 41 117178
19 1 144314
32 5 203532
29 5 151107
33 1 268619
6 45 126639
34 45 158132
15 39 135158
2 22 209479
6 24 153292
4 24 23301
16 10 109248
5 27 249069
4 16 39847
16 46 153805
4 3 106982
19 40 144132
15 38 186278
3 44 150186
32 34 97668
7 20 116922
29 9 181259
36 14 154058
40 31 141280
16 12 158506
41 22 165582
35 30 158066
12 6 185245
24 13 111398
16 25 179530
43 23 80400
8 16 216403
15 8 105006
42 39 111502
12 38 156594
46 6 159995
3 19 156581
5 30 192169
45 20 156097
7 27 210325
41 39 115471
35 3 120312
35 31 193356
40 25 84120
38 10 94977
42 26 194301
1 16 146872
21 8 210343
31 39 196877
26 3 161516
45 15 114589
4 27 144594
8 33 312865
8 25 177962
19 45 135448
44 6 87626
25 4 139683
36 8 192585
25 12 120065
41 9 144516
39 1 119210
30 21 156533
24 25 162984
22 5 180133
4 20 126028
29 34 80653
19 35 36269
35 1 180583
2 7 68090
10 41 195524
20 23 133399
19 15 147157
16 28 172546
19 39 109961
17 34 177299
37 45 182989
29 28 126639
32 23 61742
34 1 137575
43 36 50168
13 40 124429
17 2 96242
24 39 142420
44 13 177903
10 4 69401
35 32 173530
11 27 187037
25 34 97878
1 45 154090
23 33 279841
41 13 122545
34 14 150549
23 2 131704
25 13 136105
12 15 47109
40 35 153429
40 36 98221
6 22 178980
20 25 79174
8 20 187767
13 45 51440
16 9 128067
39 2 219298
18 23 178041
23 31 154948
13 38 162416
26 43 35155
7 39 151208
36 39 106518
18 41 178891
35 9 93311
13 5 172131
30 45 125760
14 43 161120
20 30 111791
3 14 143318
36 13 132147
37 14 153460
19 10 183976
9 17 174647
27 33 254065
13 14 104502
3 27 225977
46 41 59385
15 3 192612
13 32 90392
27 23 238487
22 17 217040
22 34 168403
31 42 118567
46 40 17016
7 28 132893
6 18 115650
31 1 133113
10 39 204057
38 6 101737
43 27 219196
28 31 180671
7 4 116182
2 30 189529
34 28 185133
19 38 188707
32 38 142939
4 45 117929
22 21 197857
21 28 111197
31 14 146087
22 19 92010
35 7 174369
32 4 168439
30 1 55979
39 21 129512
1 4 107025
19 9 129580
4 26 104510
21 40 157530
12 7 63159
46 44 156578
16 31 132207
5 42 179544
16 36 117960
10 44 112605
35 25 96281
3 25 157488
29 19 124873
46 13 107413
43 33 304375
10 40 200375
21 12 159306
38 2 187143
15 25 167174
19 31 157087
28 36 124833
10 28 185742
31 13 125980
38 14 57914
9 32 80219
28 4 184036
26 31 208265
10 1 165865
36 21 123708
29 11 94110
27 17 285976
14 20 65004
24 45 141230
30 18 227116
19 25 60012
2 8 171590
22 23 169551
33 31 135506
42 40 117016
10 8 173905
20 3 78314
35 34 194159
36 1 141084
22 46 183782
19 41 73572
8 6 200434
39 40 159764
5 12 188171
38 42 155003
16 44 83051
45 32 141832
28 18 209777
33 16 267713
18 36 165911
17 12 172761
4 9 88220
16 43 114449
10 33 299174
46 8 181350
18 21 213287
25 6 146982
30 15 105389
41 6 160542
12 29 56905
40 23 128453
31 22 163941
35 14 193557
2 40 165892
12 42 23453
46 9 201594
9 24 111521
1 5 174607
44 19 164186
20 42 112070
29 31 85115
41 42 129958
19 20 139186
10 32 190360
36 27 208255
17 6 132037
30 46 107610
46 45 144027
37 25 146292
26 44 61306
13 4 134699
9 18 158260
35 4 181531
23 19 156197
42 33 231515
43 37 50766
30 3 180213
38 20 122918
29 15 104014
5 25 148135
2 1 225478
41 11 70194
30 27 195693
8 41 164402
8 5 204556
4 15 132232
41 43 183498
13 16 174546
39 34 201339
4 11 141249
39 32 103671
41 26 154657
15 46 145042
26 14 127927
38 43 219034
26 24 127811
16 11 181096
41 37 132732
31 25 97075
28 8 125649
38 23 186285
36 42 139560
7 3 176562
6 23 84548
42 17 196214
28 37 125431
17 4 155834
20 2 160946
14 1 12974
27 31 118559
19 24 165370
12 43 193261
30 41 48225
3 6 69611
24 16 63148
42 8 81350
46 14 77074
18 15 130477
46 1 90048
29 22 117234
29 16 208398
41 40 76401
10 24 92702
13 29 40865
33 3 264904
40 26 88148
28 46 156541
5 17 177526
17 19 203686
20 21 152584
5 10 200836
16 18 238303
40 37 98819
38 4 164378
25 26 162376
21 42 135853
15 9 97108
26 10 173911
19 14 157288
46 27 207224
8 18 217927
6 42 170666
1 12 114259
35 22 128279
11 8 138146
45 38 143505
7 37 168462
14 7 144414
20 31 136334
10 45 48528
1 26 114953
24 29 152263
16 14 148929
15 40 128026
10 35 220245
27 25 161399
46 23 145469
36 20 103167
38 44 189363
27 9 232814
22 24 73360
40 24 144413
3 39 216345
43 24 97903
46 3 90384
25 21 218318
15 10 159542
33 2 298215
7 46 128992
24 20 139467
5 16 238364
9 26 106322
20 33 271840
28 24 160735
13 30 74320
30 24 153638
16 32 208286
6 35 50701
23 3 154159
8 27 205063
3 42 190384
16 38 204225
28 42 93187
27 34 114097
44 2 194164
32 12 74352
23 34 159410
19 16 228518
17 40 175942
16 27 184441
4 36 78113
34 43 192946
46 4 113958
27 10 213995
26 39
21 5 185707
14 7 889938
10 2 598790
25 14 628802
22 15 498904
19 9 871801
11 9 716199
4 6 800955
9 14 675899
7 21 529874
9 24 425955
14 19 707794
20 12 399164
15 23 192410
1 2 914118
12 9 668880
23 8 709335
3 22 853966
19 26 920062
3 20 776283
16 11 276489
12 22 501486
18 24 435200
8 6 744240
26 24 539281
2 18 283702
22 20 604494
26 14 686713
6 21 169279
9 20 816535
6 7 360595
11 21 519621
12 4 661351
15 10 744286
15 7 717268
5 19 781795
13 8 75441
16 21 708359
15 18 429198
42 861
16 41 140345
17 5 80528
8 24 116670
14 3 83877
20 36 212252
30 34 28752
24 6 46849
1 35 37102
39 40 145827
12 2 90854
22 28 95830
40 31 90589
24 12 9316
15 28 219026
28 6 28742
41 38 131014
2 38 34680
17 19 119797
30 1 52925
10 16 96689
37 8 81085
42 26 104011
34 8 108331
34 16 126496
16 3 194101
3 29 160638
24 29 106189
19 22 157577
20 31 116853
7 33 171697
40 36 133392
4 26 135614
9 37 89552
24 21 36316
19 39 170906
26 5 143060
22 24 93583
5 16 146633
10 27 3926
8 14 124582
6 21 52432
26 37 50227
40 14 46649
31 5 140263
15 40 182172
39 1 153906
26 25 75164
2 15 254096
7 24 173945
25 33 60551
34 37 27246
17 41 93982
11 31 66931
20 42 98075
41 4 147243
4 34 88288
35 30 41681
26 2 165440
6 23 86080
37 20 120592
28 19 65715
25 31 74845
42 24 36846
2 30 103470
37 36 140731
12 18 128276
9 17 68188
28 17 58050
1 24 32514
14 37 43497
37 25 52685
34 17 18165
31 13 161820
20 41 103181
13 9 142371
14 2 106128
27 2 123589
26 30 106225
10 11 35482
32 41 83692
22 9 31554
7 42 194113
42 23 91729
36 21 143416
42 4 59781
9 19 127201
35 42 28991
16 25 124270
38 11 93098
39 3 192521
33 14 31701
23 36 172278
15 4 240062
16 14 142740
13 34 103843
8 4 171047
8 15 232927
32 19 109507
30 6 47518
18 6 103933
32 36 123314
26 6 94008
10 37 55078
17 33 33615
30 41 104569
36 6 141504
38 40 85595
24 5 86452
37 3 90034
15 11 217042
24 2 98216
11 20 94510
20 38 136260
14 29 114101
15 24 172558
30 32 36627
41 29 49377
13 17 122008
36 19 216165
15 37 189511
27 11 39408
34 29 97850
18 11 77175
25 14 73605
11 25 7914
30 19 122203
31 24 70484
22 38 136774
32 3 75501
38 7 205053
37 28 42787
11 42 36761
18 36 200564
14 4 104539
25 2 106104
11 23 59312
23 27 86524
18 14 145504
41 42 90020
37 22 57998
7 14 181857
2 36 205316
9 5 57127
8 18 59710
1 14 40424
22 5 88681
7 40 196004
19 18 120017
31 17 80310
20 21 68852
42 6 10003
29 6 121937
39 8 117590
29 5 135229
32 21 20102
13 20 173411
36 8 184147
3 20 164439
24 20 105152
7 21 177833
2 22 106722
13 16 118562
35 15 151290
17 35 31094
41 7 150622
22 40 100480
6 38 93707
28 34 55635
32 23 82592
32 40 38273
31 9 85813
25 40 30738
16 39 194261
22 18 82797
42 8 121676
5 27 111825
36 29 169161
23 9 24694
4 37 113580
18 16 209346
32 2 82002
9 33 81223
1 25 69988
42 40 1891
12 19 112194
21 3 95603
11 2 98190
16 37 135585
35 4 88772
13 32 111718
28 4 95968
27 9 61830
29 4 163863
17 29 116015
10 21 57763
1 29 122023
28 8 118917
23 5 81821
37 2 117123
28 38 95082
3 40 98024
38 9 105220
34 32 7875
28 2 96206
37 27 59004
3 10 97412
20 26 132194
31 33 77595
39 6 133950
28 18 75202
22 20 62594
28 13 114081
26 14 67964
16 35 121019
29 33 113300
34 1 24173
21 30 56729
9 4 116430
20 29 109142
19 26 130981
30 23 119219
6 17 56675
25 35 57838
4 20 147446
27 6 12650
27 24 42051
2 21 102104
16 7 283528
18 10 112657
22 32 89452
33 13 119293
11 32 45776
5 3 145739
7 8 133122
32 31 70020
16 23 166633
34 9 65773
11 6 26758
17 20 99228
28 42 38745
5 11 75810
15 21 192196
18 23 134199
21 22 69350
19 7 267238
12 7 166583
15 34 164219
30 13 115409
33 41 91267
6 37 63802
12 15 163242
32 1 16298
3 9 133399
30 8 135132
31 21 90122
13 29 189828
39 10 142657
9 39 126057
1 6 62683
13 23 167065
21 33 43427
12 35 11952
37 35 38221
40 35 30882
32 28 47760
32 6 46385
15 10 181560
23 31 110507
41 28 55243
37 42 53799
10 19 83385
42 1 52680
32 37 35121
1 13 128016
26 23 125835
3 23 158101
21 17 30392
39 25 115089
24 39 138072
7 28 205491
7 20 172629
34 2 89903
40 18 115827
15 17 182384
4 24 96627
6 3 106136
14 41 92068
4 27 54576
27 42 5205
8 25 124847
13 19 160000
26 10 102732
18 27 116583
18 39 134696
22 3 146622
10 24 38125
27 22 93384
41 27 92667
26 24 85812
17 18 133241
23 20 55734
3 28 122625
4 1 112461
24 32 16214
29 30 126602
19 38 156829
27 17 51877
15 39 115337
25 17 63997
10 33 45236
12 28 56612
19 25 55817
16 26 169345
13 12 102866
25 6 18860
11 34 53651
18 5 152985
32 38 47322
39 41 53916
38 8 140406
27 36 136706
38 25 101012
18 13 158461
33 23 105917
7 17 168021
40 41 91911
5 19 139541
30 36 144191
25 15 209128
29 40 116383
30 15 192971
7 23 166283
6 40 11894
19 23 123043
27 16 100615
2 3 157503
5 30 106865
18 7 192832
23 25 67226
16 20 172979
32 7 157731
1 27 57885
34 40 30398
15 32 172094
8 40 123567
15 9 230014
39 27 146583
36 38 170638
30 14 45003
41 34 75817
34 35 12929
26 13 177148
16 28 134155
20 10 96796
22 34 85244
19 1 125805
27 13 80541
9 1 74196
16 29 189722
14 9 82024
14 38 71448
34 5 78113
22 25 101760
26 28 69234
36 24 123778
26 17 95638
41 24 84156
9 18 109505
41 6 80017
24 34 8339
12 25 56377
32 4 96163
15 41 169253
19 27 87311
13 38 112228
35 32 20804
17 14 34416
34 19 113171
40 11 38652
7 11 203507
11 37 44771
19 31 124319
11 33 68465
42 17 46672
17 10 47951
4 38 143485
22 42 98589
2 9 75168
12 21 28954
23 21 62490
25 36 160348
29 28 104620
8 31 77346
38 12 56174
22 1 105750
11 8 116933
7 3 223857
3 15 231845
10 9 65756
19 42 84664
9 26 101141
23 17 92882
34 20 96813
2 16 66771
13 22 121838
27 34 33712
27 25 31494
41 23 96835
30 33 13302
33 32 23325
41 26 29000
22 41 40587
39 30 158485
20 2 106208
6 9 74480
11 39 107175
15 20 261032
21 39 132863
26 8 92674
22 39 94503
27 21 61689
42 15 180309
21 9 37796
5 37 105359
12 9 66750
16 1 150648
6 7 204116
24 13 112182
5 14 94364
12 11 54628
1 5 86536
8 10 120397
40 12 29421
23 2 99862
13 2 77548
19 11 63731
22 15 209845
41 36 120473
3 4 154922
14 36 131690
2 5 124649
18 2 171397
1 31 86318
3 36 183075
13 4 135117
34 31 62145
28 39 109159
23 8 79335
30 18 151451
15 7 319875
7 27 193247
3 31 124933
22 29 89964
41 3 138605
35 26 88448
6 34 38510
31 10 89977
15 14 180470
31 26 15328
11 36 168262
25 5 83724
13 5 181956
36 17 133604
14 19 129422
30 7 158379
37 41 48571
41 19 116990
19 20 158241
34 3 67626
40 26 105902
7 34 165606
28 31 68915
21 4 116265
13 42 75336
15 27 185486
17 16 138483
40 21 58375
2 31 152022
41 1 99990
38 34 55197
7 35 178535
33 26 92923
13 10 76615
16 12 125498
42 16 97968
13 35 104327
12 1 25150
5 33 93563
20 9 31040
5 42 106620
18 26 82436
12 20 97790
36 35 102510
33 16 141925
30 40 41964
42 14 44758
25 34 57354
8 1 128837
37 21 55223
36 15 48795
23 29 102796
38 5 117560
17 38 37032
22 35 96219
19 3 168560
17 1 26588
6 12 37533
39 29 103293
30 16 135483
9 16 141939
32 18 122951
35 19 113655
30 11 74276
31 12 61168
35 21 40906
27 38 88909
27 31 93903
21 25 33588
22 16 173493
33 4 102746
13 37 129135
38 16 101451
34 26 77473
21 38 67424
12 26 76496
22 17 99742
14 32 24126
21 19 89405
19 15 264945
21 42 56484
4 40 61672
29 10 113213
14 23 106718
34 18 129253
8 13 98751
35 10 30270
11 17 56066
35 3 80555
29 26 51033
29 37 70604
39 33 145183
5 4 166401
1 7 141433
32 25 53690
42 9 67035
24 23 98806
25 7 211421
23 37 104083
42 38 83704
36 28 170246
10 25 27568
19 2 161921
6 15 190295
3 18 192041
35 28 67736
28 14 71886
12 29 96873
3 13 171469
40 9 68926
28 25 9898
22 36 161060
24 9 74112
9 29 78102
32 9 57898
34 36 115439
21 41 78933
24 3 59287
30 38 68797
9 36 181212
12 23 91444
1 26 101646
39 26 82916
6 19 74661
34 21 27977
7 4 247823
8 22 23087
27 12 32735
22 23 56248
3 12 68603
41 10 88741
41 12 74840
10 22 97310
8 20 85681
12 8 107354
22 30 114013
21 26 92924
5 6 102568
17 24 26504
28 24 63338
14 24 24590
28 21 27658
22 4 147960
28 40 40636
19 29 88614
2 29 153270
18 37 102011
3 27 100374
35 14 29180
5 40 108511
42 33 43957
42 29 114492
42 39 143936
24 19 109257
10 42 1279
37 31 34899
31 38 117342
8 27 116471
28 11 1984
26 15 166908
13 15 255617
40 23 93620
36 33 130889
9 35 78702
7 29 200013
28 10 37466
28 5 77794
7 31 164294
29 15 217941
3 17 85791
22 11 93846
7 36 271095
13 40 73445
22 14 101495
40 33 45848
25 42 28847
38 10 84983
39 2 201225
2 8 129809
2 42 118384
21 29 115898
40 20 99966
31 16 154017
7 10 195392
6 22 106034
29 25 110550
16 36 223529
5 8 111768
27 32 41587
33 19 116368
30 27 34891
6 20 105520
33 8 123781
1 28 64058
8 35 119306
13 6 85339
9 8 54641
39 32 137608
37 40 55690
36 39 66557
15 16 240292
28 33 70449
27 26 106658
8 17 103374
10 1 53959
8 3 169709
31 15 182236
34 33 15450
11 21 25674
41 31 13672
27 35 34196
5 21 50136
42 31 88698
33 15 179669
36 31 133456
11 1 62074
33 3 52176
10 36 132780
41 8 63674
18 33 144703
20 1 105236
37 1 51419
35 29 108825
24 18 137592
21 16 154452
29 11 102636
32 10 37661
31 29 35705
12 30 29729
29 32 105725
11 26 67250
20 25 102424
24 40 38737
25 13 104183
24 11 61354
41 35 86792
17 4 106453
10 30 38794
38 29 153047
26 22 69587
18 20 140545
6 10 8724
34 23 90467
37 7 168033
38 24 63536
20 32 88945
9 28 65454
4 31 148479
1 36 139612
17 30 31758
11 3 120641
3 42 96133
21 13 131820
41 5 129069
32 26 85348
12 32 8852
12 17 19142
4 23 141100
39 13 202064
20 5 80140
30 28 76260
5 7 163168
12 39 128756
10 4 58502
22 12 84267
14 12 17228
24 33 7111
23 35 97235
32 42 36382
19 8 179727
38 37 82443
24 37 35585
8 29 91113
37 12 26269
42 36 131501
28 23 61296
19 40 86555
3 26 140276
6 14 54761
41 2 147318
10 40 3170
40 27 7096
22 31 54259
39 4 167964
16 32 134350
40 2 120275
37 19 108502
4 11 93984
33 38 70647
21 14 44228
5 32 70246
33 6 53960
34 10 29786
13 36 206837
12 33 16427
9 30 94525
20 35 109742
15 38 219416
11 9 63470
14 10 46037
8 6 129121
17 37 45411
18 25 85089
25 24 53440
23 15 221058
1 23 98890
13 14 120094
35 33 28379
40 16 99859
26 36 118128
25 30 66362
2 4 178165
11 14 69902
33 1 39623
13 11 112097
33 20 112263
30 37 55998
14 27 49963
21 1 36400
41 13 148148
16 4 155201
39 7 204538
13 7 231873
18 15 249344
1 40 54571
18 38 170273
37 33 42696
38 35 68126
7 2 216757
20 30 125565
29 18 31403
8 32 112539
3 1 91799
25 41 61173
26 7 179622
17 39 147898
1 18 139249
41 18 80780
21 8 92437
16 24 134814
19 4 141887
2 10 119663
7 9 141589
39 38 184930
9 41 72141
33 22 100694
3 25 112727
27 20 92870
10 5 107899
27 29 109287
17 2 71712
39 37 102487
18 35 140228
12 42 27530
4 12 87311
31 35 73120
17 32 10290
34 39 129733
31 14 78396
6 31 93689
39 20 157097
21 18 102849
2 6 124948
38 26 132670
11 41 53259
25 4 86070
5 12 79090
3 38 122823
35 5 91042
30 3 65478
4 6 67245
1 2 98300
34 42 28507
22 7 110059
36 5 193552
23 10 90450
23 39 105721
5 15 242332
4 18 171159
1 15 180017
36 4 191282
16 8 196580
30 31 90897
30 24 20413
2 33 105327
35 24 21268
16 19 180074
18 31 67108
35 2 102806
25 9 71384
6 16 105413
39 5 182985
28 27 41392
39 31 67588
23 38 129914
30 4 89444
40 17 48563
42 18 113936
35 6 38994
14 34 16251
35 11 65752
28 20 96494
20 14 113064
35 39 140708
12 34 977
33 27 48170
16 11 132171
1 38 63620
12 10 28809
39 14 145984
42 30 40073
12 36 114462
11 12
4 7 940953
9 8 595269
8 7 312809
6 10 439153
3 7 859752
1 4 571882
11 9 662092
6 8 343767
5 2 289414
7 5 437841
7 10 470111
2 1 289055
45 195
33 20 253575
45 24 301066
29 27 181755
22 35 148071
24 4 252112
36 19 292519
11 36 369651
24 44 243156
42 38 427554
26 39 149114
18 19 221581
15 24 258464
40 8 208744
28 25 102323
21 24 326569
6 35 300117
7 35 259116
6 5 352012
24 28 273855
25 33 269075
18 5 342185
26 22 112553
45 37 449092
35 32 340698
37 8 310918
45 6 326151
11 31 249709
22 27 72164
20 38 181905
9 45 504358
43 9 273181
36 45 393366
12 31 119402
31 7 283178
38 40 166125
33 9 266088
21 36 324047
32 44 286765
13 12 382203
26 19 300115
22 16 28395
3 7 326073
6 4 227027
24 18 15258
20 35 28979
25 3 190615
13 32 392596
12 33 276471
31 20 278080
26 24 300973
5 42 436156
27 6 244902
30 12 292767
35 37 169688
9 7 275939
11 5 282313
20 18 288753
32 16 329252
28 20 162020
8 17 293112
29 16 178276
35 11 47271
29 41 284071
29 20 214881
37 12 369985
1 35 232499
16 8 306692
17 3 271500
34 17 194958
3 21 177272
10 28 178683
10 1 243118
43 4 263705
14 21 211037
24 39 363258
26 11 170394
25 21 206446
33 15 185982
14 31 149690
3 23 34054
4 26 310952
35 43 127109
25 5 244638
23 7 292019
12 19 297488
40 24 288231
42 20 385877
31 41 353255
10 3 94144
10 13 125334
36 22 328917
19 29 269619
4 20 139177
45 34 419254
29 33 338697
13 26 35759
7 42 309143
22 39 261667
28 26 199462
7 38 164167
14 4 281546
5 36 147429
32 31 202135
15 11 234334
5 24 326927
3 19 229856
33 38 71670
30 6 289341
40 13 195105
10 6 268535
36 28 339378
38 8 337026
2 40 155102
21 27 106752
34 12 315543
19 25 228811
41 23 278616
35 12 200297
30 24 265604
33 8 408696
9 18 323312
8 31 251627
39 2 408495
37 4 220016
6 7 280026
21 44 156417
41 35 242931
21 30 258619
19 16 274938
32 7 351939
4 9 275282
5 43 377811
28 22 130143
10 20 128510
42 10 306219
3 24 306058
28 43 259300
26 36 389132
13 18 321474
9 42 391352
32 33 259442
23 28 171632
26 8 365697
38 18 128894
20 1 235080
44 13 113606
42 26 349226
42 27 329843
43 32 356346
18 31 43495
22 4 198399
14 34 112417
29 2 268443
26 41 303354
37 15 295213
27 38 97711
18 40 272973
41 28 191032
11 10 52260
32 30 269464
37 14 198066
3 4 210091
12 41 385667
19 43 283470
25 44 169760
42 39 498340
24 33 215822
6 21 351654
25 1 286377
18 45 285808
31 26 329210
33 39 429034
22 38 169875
13 2 223622
40 19 143162
9 37 55266
19 23 195802
38 23 127852
33 36 321299
38 31 172389
10 33 193005
28 33 316186
19 34 271607
42 11 309627
25 26 224582
39 10 310207
17 12 463382
25 42 358660
2 28 233493
26 6 326058
44 7 263160
2 8 326003
1 12 221350
17 42 436610
42 37 336086
37 85
36 29 541920
28 13 495760
29 23 323656
1 7 202642
23 37 218940
35 12 329978
24 21 282769
7 14 475024
21 1 160609
32 36 402398
22 16 448197
22 11 392980
33 12 330775
6 23 497160
30 10 240073
5 34 311962
24 7 324802
31 4 646610
31 12 165614
21 14 432991
31 16 196939
26 22 566698
13 12 405974
5 18 295156
32 21 254338
36 4 640546
7 27 177519
15 5 33235
6 30 395302
14 5 539400
27 13 309013
32 20 251824
15 12 401968
2 36 427789
3 11 267610
29 34 422471
24 10 127982
27 24 366523
18 27 77481
2 6 393900
32 14 505991
30 11 113301
15 20 540578
33 30 319602
10 26 669523
27 12 96961
30 5 66473
2 18 151028
35 1 123628
28 16 475577
6 27 320353
29 28 585722
12 36 380507
22 6 465359
6 16 453386
21 18 58005
10 25 676972
12 28 407091
1 19 379364
34 10 485562
35 10 409113
16 36 256615
16 34 187405
27 3 174598
33 8 349000
3 8 296402
4 16 453717
20 31 579725
32 7 296371
27 30 290579
4 2 560192
16 26 569921
24 4 619846
4 3 666110
30 17 193390
21 15 270386
13 33 338036
37 31 304708
27 37 42133
1 29 367763
22 18 222487
32 29 348867
36 14 586419
14 22 597473
19 37 312108
50 166
2 48 288421
28 18 214519
12 37 147147
26 34 310024
30 10 122338
9 4 328982
47 32 260154
42 27 286632
11 39 315014
9 48 415103
28 11 390395
18 38 369966
29 28 265628
36 5 159224
34 6 350676
16 20 492182
40 46 427709
46 31 357485
25 2 239567
10 11 117940
5 41 312096
2 41 320978
41 49 305624
4 1 325224
40 35 312231
24 44 134045
40 21 479579
44 40 469791
34 27 248874
41 26 256539
2 31 247350
42 45 208782
29 35 225466
11 41 291661
39 30 143462
5 14 292373
28 12 172769
13 19 415999
18 47 377077
2 14 302874
36 13 313432
42 21 387438
6 41 332332
50 27 323735
20 48 321496
7 30 237093
44 36 254599
35 38 430942
20 9 492228
12 19 490646
15 38 184221
22 48 388328
37 25 7488
10 34 243546
38 7 335257
9 24 116647
31 50 260309
1 37 243045
3 30 117339
19 18 534740
35 8 327538
4 28 224279
11 1 238398
43 19 766712
24 45 185439
7 35 173214
11 27 216351
20 42 202584
14 11 231572
14 17 211285
13 11 174643
18 35 311156
44 14 387748
5 47 273839
42 19 442190
15 43 446615
4 45 262573
25 27 172211
14 31 240502
40 16 452637
39 40 325406
22 46 274868
6 47 379012
3 27 282655
22 26 345635
16 22 57886
39 17 171003
19 39 530245
41 7 16916
35 36 239488
41 42 309416
9 31 346439
23 13 272493
10 23 71519
27 15 208920
50 3 89890
47 34 367868
44 20 509336
18 29 235072
28 50 279267
32 6 118858
7 20 424186
33 19 440439
7 3 354432
7 34 290221
17 44 320497
35 22 365900
35 13 384873
9 33 148357
46 4 138342
39 46 496451
15 7 202141
39 31 255182
28 32 246335
10 28 299844
21 4 312528
23 28 301924
7 47 239135
21 48 372682
22 44 381011
33 21 385687
14 34 282902
26 4 285892
14 9 363707
27 45 77850
1 43 485444
24 31 272455
41 27 136633
23 50 130682
40 19 535815
20 6 379523
26 46 380503
41 17 201688
15 49 218937
24 49 273306
20 39 364951
11 7 274745
49 1 224435
15 32 79354
34 9 424859
40 4 306841
44 16 393283
33 44 203098
13 33 213487
2 21 412077
45 9 302086
12 46 413687
3 32 226306
48 33 266746
