Case #1: 1000
24 44 243156
42 38 427554
26 39 149114
18 19 221581
15 24 258464
40 8 208744
28 25 102323
21 24 326569
6 35 300117
7 35 259116
6 5 352012
24 28 273855
25 33 269075
18 5 342185
26 22 112553
45 37 449092
35 32 340698
37 8 310918
45 6 326151
11 31 249709
22 27 72164
20 38 181905
9 45 504358
43 9 273181
36 45 393366
12 31 119402
31 7 283178
38 40 166125
33 9 266088
21 36 324047
32 44 286765
13 12 382203
26 19 300115
22 16 28395
3 7 326073
6 4 227027
24 18 15258
20 35 28979
25 3 190615
13 32 392596
12 33 276471
31 20 278080
26 24 300973
5 42 436156
27 6 244902
30 12 292767
35 37 169688
9 7 275939
11 5 282313
20 18 288753
32 16 329252
28 20 162020
8 17 293112
29 16 178276
35 11 47271
29 41 284071
29 20 214881
37 12 369985
1 35 232499
16 8 306692
17 3 271500
34 17 194958
3 21 177272
10 28 178683
10 1 243118
43 4 263705
14 21 211037
24 39 363258
26 11 170394
25 21 206446
33 15 185982
14 31 149690
3 23 34054
4 26 310952
35 43 127109
25 5 244638
23 7 292019
12 19 297488
40 24 288231
42 20 385877
31 41 353255
10 3 94144
10 13 125334
36 22 328917
19 29 269619
4 20 139177
45 34 419254
29 33 338697
13 26 35759
7 42 309143
22 39 261667
28 26 199462
7 38 164167
14 4 281546
5 36 147429
32 31 202135
15 11 234334
5 24 326927
3 19 229856
33 38 71670
30 6 289341
40 13 195105
10 6 268535
36 28 339378
38 8 337026
2 40 155102
21 27 106752
34 12 315543
19 25 228811
41 23 278616
35 12 200297
30 24 265604
33 8 408696
9 18 323312
8 31 251627
39 2 408495
37 4 220016
6 7 280026
21 44 156417
41 35 242931
21 30 258619
19 16 274938
32 7 351939
4 9 275282
5 43 377811
28 22 130143
10 20 128510
42 10 306219
3 24 306058
28 43 259300
26 36 389132
13 18 321474
9 42 391352
32 33 259442
23 28 171632
26 8 365697
38 18 128894
20 1 235080
44 13 113606
42 26 349226
42 27 329843
43 32 356346
18 31 43495
22 4 198399
14 34 112417
29 2 268443
26 41 303354
37 15 295213
27 38 97711
18 40 272973
41 28 191032
11 10 52260
32 30 269464
37 14 198066
3 4 210091
12 41 385667
19 43 283470
25 44 169760
42 39 498340
24 33 215822
6 21 351654
25 1 286377
18 45 285808
31 26 329210
33 39 429034
22 38 169875
13 2 223622
40 19 143162
9 37 55266
19 23 195802
38 23 127852
33 36 321299
38 31 172389
10 33 193005
28 33 316186
19 34 271607
42 11 309627
25 26 224582
39 10 310207
17 12 463382
25 42 358660
2 28 233493
26 6 326058
44 7 263160
2 8 326003
1 12 221350
17 42 436610
42 37 336086
Case #83: 85
36 29 541920
28 13 495760
29 23 323656
1 7 202642
23 37 218940
35 12 329978
24 21 282769
7 14 475024
21 1 160609
32 36 402398
22 16 448197
22 11 392980
33 12 330775
6 23 497160
30 10 240073
5 34 311962
24 7 324802
31 4 646610
31 12 165614
21 14 432991
31 16 196939
26 22 566698
13 12 405974
5 18 295156
32 21 254338
36 4 640546
7 27 177519
15 5 33235
6 30 395302
14 5 539400
27 13 309013
32 20 251824
15 12 401968
2 36 427789
3 11 267610
29 34 422471
24 10 127982
27 24 366523
18 27 77481
2 6 393900
32 14 505991
30 11 113301
15 20 540578
33 30 319602
10 26 669523
27 12 96961
30 5 66473
2 18 151028
35 1 123628
28 16 475577
6 27 320353
29 28 585722
12 36 380507
22 6 465359
6 16 453386
21 18 58005
10 25 676972
12 28 407091
1 19 379364
34 10 485562
35 10 409113
16 36 256615
16 34 187405
27 3 174598
33 8 349000
3 8 296402
4 16 453717
20 31 579725
32 7 296371
27 30 290579
4 2 560192
16 26 569921
24 4 619846
4 3 666110
30 17 193390
21 15 270386
13 33 338036
37 31 304708
27 37 42133
1 29 367763
22 18 222487
32 29 348867
36 14 586419
14 22 597473
19 37 312108
Case #84: 166
2 48 288421
28 18 214519
12 37 147147
26 34 310024
30 10 122338
9 4 328982
47 32 260154
42 27 286632
11 39 315014
9 48 415103
28 11 390395
18 38 369966
29 28 265628
36 5 159224
34 6 350676
16 20 492182
40 46 427709
46 31 357485
25 2 239567
10 11 117940
5 41 312096
2 41 320978
41 49 305624
4 1 325224
40 35 312231
24 44 134045
40 21 479579
44 40 469791
34 27 248874
41 26 256539
2 31 247350
42 45 208782
29 35 225466
11 41 291661
39 30 143462
5 14 292373
28 12 172769
13 19 415999
18 47 377077
2 14 302874
36 13 313432
42 21 387438
6 41 332332
50 27 323735
20 48 321496
7 30 237093
44 36 254599
35 38 430942
20 9 492228
12 19 490646
15 38 184221
22 48 388328
37 25 7488
10 34 243546
38 7 335257
9 24 116647
31 50 260309
1 37 243045
3 30 117339
19 18 534740
35 8 327538
4 28 224279
11 1 238398
43 19 766712
24 45 185439
7 35 173214
11 27 216351
20 42 202584
14 11 231572
14 17 211285
13 11 174643
18 35 311156
44 14 387748
5 47 273839
42 19 442190
15 43 446615
4 45 262573
25 27 172211
14 31 240502
40 16 452637
39 40 325406
22 46 274868
6 47 379012
3 27 282655
22 26 345635
16 22 57886
39 17 171003
19 39 530245
41 7 16916
35 36 239488
41 42 309416
9 31 346439
23 13 272493
10 23 71519
27 15 208920
50 3 89890
47 34 367868
44 20 509336
18 29 235072
28 50 279267
32 6 118858
7 20 424186
33 19 440439
7 3 354432
7 34 290221
17 44 320497
35 22 365900
35 13 384873
9 33 148357
46 4 138342
39 46 496451
15 7 202141
39 31 255182
28 32 246335
10 28 299844
21 4 312528
23 28 301924
7 47 239135
21 48 372682
22 44 381011
33 21 385687
14 34 282902
26 4 285892
14 9 363707
27 45 77850
1 43 485444
24 31 272455
41 27 136633
23 50 130682
40 19 535815
20 6 379523
26 46 380503
41 17 201688
15 49 218937
24 49 273306
20 39 364951
11 7 274745
49 1 224435
15 32 79354
34 9 424859
40 4 306841
44 16 393283
33 44 203098
13 33 213487
2 21 412077
45 9 302086
12 46 413687
3 32 226306
48 33 266746
31 19 465591
35 16 423786
19 15 424423
50 19 466646
15 9 171016
31 10 58108
42 31 92815
28 33 253060
23 33 104475
18 11 245197
16 15 250483
16 46 332754
6 4 110903
30 22 258457
13 17 261887
50 8 287669
6 40 339978
Case #85: 25
4 8 484859
5 11 257666
4 5 621014
1 6 365655
6 12 281235
10 5 21671
1 11 586567
6 2 205912
13 9 316566
10 12 442880
13 14 218429
2 9 516044
12 5 464551
11 15 400107
5 6 183316
3 11 451590
5 15 142441
10 9 194389
7 10 457516
7 6 619161
8 6 382598
5 3 224020
11 14 299213
2 8 575642
15 12 529331
Case #86: 19
6 1 290351
6 7 240892
4 9 410113
3 1 280150
3 2 116758
4 6 440459
8 5 629879
3 4 430258
1 5 248043
6 8 184790
9 6 408713
6 2 200662
7 2 441554
5 4 97935
3 6 83904
2 4 547016
1 8 381836
5 9 508048
3 7 324796
Case #87: Impossible
Case #88: Impossible
Case #89: 224
22 11 62303
26 31 78035
13 20 72694
11 27 179209
17 8 229300
11 9 367282
18 10 280146
14 13 185041
14 9 421877
11 23 197785
17 12 268397
6 15 127622
27 24 196160
30 20 107966
7 16 248426
26 13 100434
17 6 162788
24 4 152314
15 13 102996
7 24 64633
23 19 156800
1 4 115898
7 11 210316
1 19 9928
22 3 361499
8 12 368843
15 17 35166
3 13 344536
23 17 242204
19 29 164701
30 10 157839
18 29 281951
17 22 180631
5 9 396274
19 20 169358
16 29 254630
24 6 135433
18 1 127178
4 20 102837
13 2 232715
16 4 233140
20 18 257181
19 31 232945
13 24 95185
30 19 150147
26 1 187170
24 1 181921
6 21 9596
13 23 253464
11 16 103054
5 18 246175
17 29 182561
19 7 127216
17 4 179669
26 21 120588
10 16 226458
28 21 115636
5 4 36861
1 3 284903
13 30 180660
10 2 115251
7 10 189466
28 2 41442
4 29 72637
7 30 150108
22 29 213879
30 21 31606
2 25 197813
27 9 447301
10 29 136242
15 3 313508
17 27 198347
8 30 107714
8 29 122268
3 4 202767
26 15 2562
29 24 155206
4 27 264684
20 10 231608
3 19 294831
10 11 123404
22 28 111898
26 7 69882
17 13 122540
27 26 201409
20 24 97564
12 10 273473
15 7 72444
25 24 222917
12 30 283694
23 24 214849
24 8 201945
10 28 73809
5 19 128925
12 14 425723
22 12 285071
1 29 154773
25 11 205966
25 7 272028
27 10 55805
22 21 166017
10 24 140355
29 12 358087
10 17 142542
8 2 171669
25 3 294227
22 6 175613
5 15 107642
24 14 219122
18 26 164866
7 1 117288
16 30 179671
17 18 197470
20 9 309530
1 8 165529
20 25 314170
25 29 218804
11 17 118328
27 25 26757
9 30 401717
23 1 166728
5 30 21222
21 3 195482
8 21 76108
18 11 173048
23 10 321189
6 27 247803
18 9 341287
10 31 223639
6 19 108945
14 4 140273
13 21 149054
17 21 153192
7 31 147917
18 14 333587
21 18 235791
3 2 291043
2 30 106399
9 1 384676
28 4 137499
16 28 152649
16 2 111207
28 15 103899
23 30 274402
5 2 85177
9 29 451242
31 4 219976
8 18 290888
3 14 309278
14 19 232337
1 16 142364
31 1 242873
3 6 185886
24 15 7811
30 22 138920
15 29 147395
5 27 234866
16 24 183793
3 29 241642
8 23 246154
2 27 171056
4 9 412367
28 9 317687
30 15 128864
25 22 167335
10 8 258510
27 30 213644
25 18 347551
24 22 207986
30 14 164594
22 31 141260
25 23 302817
19 26 197098
26 10 145604
21 23 275341
15 4 144503
27 1 242191
7 18 234748
25 21 272007
9 26 337270
4 30 53469
9 22 429585
31 9 375139
2 1 172069
27 21 245250
24 26 5249
13 6 158650
15 19 199660
8 31 251932
9 17 359376
5 21 10384
29 31 222868
3 30 227088
8 6 66512
24 12 295752
6 2 105157
26 11 150932
4 8 83393
19 17 210096
28 8 191744
20 29 141712
26 6 130184
22 1 101613
13 28 191273
12 6 302331
20 16 265735
27 15 203971
31 30 204337
2 21 95561
20 26 92315
3 11 299196
23 3 440440
27 28 129614
27 3 267470
29 28 163498
17 14 246477
6 9 395486
1 17 209276
24 21 125837
14 20 196631
5 26 110204
2 19 162141
28 14 248624
11 1 163916
Case #90: 21
24 22 408648
1 26 826387
6 2 849230
18 19 871262
7 10 898790
2 18 764866
10 18 893302
1 18 731940
3 11 992186
8 2 820937
26 23 924611
24 6 680857
26 24 779477
18 21 940197
3 24 655060
13 28 603257
28 18 594460
16 27 530642
29 13 514839
20 18 747398
27 24 882745
Case #91: 6
1 5 764727
2 5 748198
3 5 780889
5 4 550221
5 6 728478
10 8 318098
Case #92: Impossible
Case #93: 7
5 2 379193
6 4 553976
4 1 379884
4 3 155990
3 1 223894
3 2 402713
3 6 397986
Case #94: 43
2 11 114235
3 1 228492
10 8 399884
2 10 299870
7 10 588990
8 9 214653
9 5 259079
2 7 417968
4 2 64424
2 6 84845
3 7 347065
8 3 170917
1 11 182314
6 9 29794
9 1 184756
10 3 241925
11 3 56290
8 6 184859
6 11 70232
5 11 271633
8 5 386260
10 4 235446
6 1 214550
6 5 229285
10 9 285661
4 3 6479
7 11 403355
1 10 367949
3 5 215343
4 7 353544
10 5 457268
4 9 50215
8 7 517982
7 1 547673
8 11 214249
2 9 114639
4 8 164438
7 5 379027
1 2 296549
6 10 255867
8 1 396563
7 9 362917
11 4 49811
Case #95: 266
1 17 305334
6 3 283212
18 20 163739
13 12 287406
23 19 137963
4 9 119480
1 7 282454
22 2 217915
9 7 321518
29 24 323778
10 7 341918
15 1 262908
22 20 309904
21 27 157370
27 16 203837
9 22 297071
22 21 340946
9 19 161870
11 23 123358
18 15 161694
29 6 206927
25 14 181112
2 26 107481
3 24 215725
25 11 208646
22 13 135073
24 7 334243
27 29 206933
2 7 141785
15 17 109958
4 18 222783
1 10 301267
22 4 416551
25 5 254245
6 23 75796
24 15 345839
28 18 181364
19 28 138681
25 16 179543
13 23 222412
19 22 297418
6 27 134006
27 24 305584
6 10 250100
2 18 173558
5 14 101202
10 17 74101
15 7 188705
18 19 42683
23 10 174304
6 21 215701
16 26 151626
13 10 384718
2 11 73248
10 3 116905
23 4 318063
24 19 256522
11 5 210625
10 25 241679
11 12 203644
6 9 267059
20 8 266715
2 4 237197
12 29 229009
10 5 283032
21 11 263263
22 29 372144
4 7 202038
15 12 204233
20 7 298987
14 8 215767
11 16 117393
2 16 44145
4 20 239156
10 28 283592
9 18 204553
3 17 42804
19 21 164091
26 27 64209
2 14 60912
8 10 360562
8 19 60293
5 21 340035
18 21 206774
6 17 254167
7 12 298816
18 10 257586
25 22 353313
9 26 229795
14 7 80873
20 25 284723
20 24 370432
9 2 256314
25 6 161084
26 29 154722
3 19 231602
3 12 140889
3 18 274285
7 21 186029
29 8 209189
28 20 189745
20 1 207420
18 13 127132
14 28 95353
9 8 222163
24 26 303120
13 27 280622
10 11 297662
17 29 327094
8 7 238833
17 27 175695
1 27 197171
3 26 215176
27 15 65737
27 20 138667
20 16 226084
4 21 187589
13 28 269235
19 17 274406
14 3 237946
3 16 332844
12 10 156306
19 10 300269
20 23 80457
5 15 209034
13 11 283305
4 8 135527
9 21 307069
14 16 105057
28 7 176226
3 28 249720
21 8 224384
1 11 187282
19 16 175020
17 11 300994
7 29 323026
23 15 123947
13 1 96023
11 9 314621
18 26 89281
25 19 78301
14 12 217943
17 24 258529
19 14 167050
8 3 291895
22 24 221780
20 21 296037
24 2 302957
13 17 345236
16 6 69831
16 13 305574
7 19 178540
26 1 132962
27 14 173569
1 4 294746
7 25 100239
27 18 153490
10 22 317465
27 28 167498
26 12 74287
22 1 231096
4 16 281342
1 14 201581
17 23 178371
25 12 284552
2 8 179592
20 2 181939
7 17 296344
8 27 256466
3 2 288699
27 12 138496
20 3 289634
7 3 253540
26 10 168305
22 26 235446
13 14 224490
29 13 237071
19 29 236943
24 14 311197
12 18 163568
14 20 218114
29 11 254489
9 13 161998
6 14 61861
13 2 261429
4 11 310445
5 7 182075
24 8 316815
14 15 107832
2 21 221188
24 18 213839
18 1 222243
12 16 225913
8 13 230108
29 15 272670
22 3 302048
15 28 203185
20 9 304253
19 13 169815
2 19 130875
28 23 109288
20 11 152083
10 4 274494
25 2 135398
15 8 264670
6 1 139720
24 9 248705
20 10 242763
12 1 207249
22 18 262205
26 28 115287
1 25 192947
23 14 137657
6 24 277271
22 12 161159
4 12 298478
5 18 250420
4 24 230021
8 18 102976
26 7 224529
8 6 153906
28 8 138904
19 6 105189
10 27 232514
25 15 282678
3 4 157589
12 19 206251
21 26 221579
6 12 156082
3 5 311811
14 17 217790
5 16 206259
9 3 277069
15 10 184059
6 20 156253
1 24 182730
9 1 258021
13 7 305363
1 5 179405
5 8 309248
23 27 58210
21 28 182209
11 14 109423
24 12 356614
26 14 143656
19 27 196173
10 14 291891
23 3 221175
8 22 297641
2 10 275786
13 24 86707
29 1 287684
13 4 281478
22 17 259244
20 13 283725
28 4 274431
14 4 282911
3 11 330774
5 6 163063
15 16 212889
3 13 302432
9 15 347743
23 12 80286
12 5 285314
28 9 300551
29 14 242153
Case #96: 579
18 21 71845
2 13 46403
28 7 98121
27 25 32107
31 16 76963
35 1 95575
8 28 86024
36 12 143315
25 17 166424
37 14 131644
8 11 102920
27 7 38235
37 18 118620
3 16 156549
31 28 8916
5 13 127627
8 24 75544
3 26 118478
14 12 148556
35 37 40510
13 22 109884
21 5 168052
22 17 138643
28 19 117206
24 9 63647
18 23 62296
14 17 147710
29 22 149919
10 5 105237
31 27 82602
26 17 176366
27 9 43717
33 18 71825
24 3 130869
6 29 114468
22 10 15698
32 24 125435
22 15 38625
18 6 43013
25 5 31243
11 4 137309
35 21 216026
14 21 205268
28 24 42367
27 16 21164
23 8 33752
7 30 170729
10 7 102869
34 15 96677
1 26 102744
25 13 96384
11 33 122981
30 25 110458
9 25 11610
12 33 78894
1 3 145550
19 17 132631
33 14 110262
22 34 135302
20 32 93794
12 29 127547
2 30 145609
32 16 61944
23 25 20552
14 2 156470
35 32 69784
21 32 147053
36 6 107371
32 23 93411
15 12 32770
13 12 38489
34 25 82747
17 5 135181
23 24 54705
35 7 115008
12 26 44905
6 26 80849
19 31 110402
19 30 93370
29 37 216236
5 20 114793
7 21 128840
16 4 32132
18 29 134616
22 16 69239
4 14 82212
19 11 179210
28 26 45696
1 18 64908
18 15 39839
35 29 220890
9 16 22553
19 23 102724
10 33 80855
6 30 87613
3 27 162188
25 10 73994
33 27 38968
30 28 122766
28 32 83068
19 15 104808
11 9 127730
37 32 29274
37 24 123068
16 23 31495
11 22 159979
24 20 43411
19 34 151077
12 24 43158
5 32 85020
16 8 2285
29 9 129117
13 23 93716
27 22 80332
25 24 75257
26 36 109643
17 37 103551
18 24 50227
22 1 143372
37 9 113743
28 34 64698
3 14 136944
35 2 171121
2 1 79891
33 8 20061
3 21 152487
13 26 69256
24 35 128868
36 7 190487
15 9 53259
13 14 117544
31 30 131682
16 13 107327
33 15 71730
28 29 128338
6 37 109506
31 1 65964
11 28 100122
14 5 83070
35 31 159375
32 22 131155
26 21 109681
32 14 102370
4 1 119839
22 31 79520
8 1 85450
28 33 79685
7 4 91531
31 34 55782
24 13 81647
7 37 150617
12 4 70002
13 11 137820
5 26 94988
37 4 123322
27 10 64634
3 32 169988
13 34 88258
12 21 64776
4 6 40506
26 33 70606
12 2 22052
17 1 158616
24 30 101175
26 11 144236
30 32 104178
22 4 75957
5 22 89539
24 6 13562
23 12 69365
19 10 127735
24 15 10388
13 35 130806
37 36 94662
32 4 94048
11 34 163238
35 27 76773
30 26 129401
25 33 6861
15 7 79942
28 25 72824
19 37 99503
34 37 163720
29 27 146182
18 7 90261
24 27 52095
3 35 185721
35 33 110244
9 26 52135
34 14 162928
24 21 107934
5 16 27646
28 37 112342
22 6 35451
18 9 53354
31 36 137655
4 24 54068
12 5 103276
35 17 63041
30 16 121401
29 2 149599
36 17 66723
1 24 115135
4 9 9579
10 26 100602
11 20 110848
7 29 184417
5 2 100830
3 20 99228
32 7 121343
37 2 133603
36 5 161459
5 18 96207
23 21 123693
30 34 110399
4 3 143575
9 34 71137
34 10 119604
3 25 145606
33 7 77203
13 10 94186
36 27 152252
23 9 8942
7 12 97330
32 10 137974
4 21 123056
4 19 103361
8 26 76945
12 11 99331
31 15 40895
1 27 108899
27 18 81546
28 3 88502
31 14 142543
27 19 99739
27 17 139814
19 36 113128
16 26 74688
22 18 78464
28 10 54906
14 9 91791
27 12 74477
23 22 76594
10 14 129089
8 30 123658
24 31 51283
3 9 133996
26 18 37836
35 11 130921
33 30 117319
28 14 149347
4 26 61714
34 36 90641
5 4 52432
28 22 70604
6 11 135275
3 36 55957
1 36 149727
34 20 75424
34 33 89608
27 2 94348
29 32 186962
28 15 31979
5 7 87045
31 2 13927
15 35 118480
2 26 22853
35 30 115414
32 26 127182
16 11 105205
22 9 69906
18 25 64964
24 22 49013
8 9 24810
35 12 151250
35 8 97501
23 27 52659
14 19 32141
23 20 77340
21 37 176327
3 17 122680
34 24 107065
3 18 80642
27 32 83108
9 35 114993
20 7 108847
20 28 12308
32 36 123936
22 30 52162
31 6 44069
14 24 136280
23 29 138059
31 32 90402
37 8 88933
20 12 11517
19 9 93782
29 13 166036
13 4 94353
23 15 44317
16 17 160978
3 6 123655
15 27 41707
21 13 103265
2 8 75469
18 12 7069
24 19 115196
5 24 100905
14 16 103359
21 27 139253
20 33 90411
26 27 95852
16 12 82976
28 27 73686
8 6 68330
4 27 53296
36 18 136599
35 26 167128
3 30 75715
12 6 35944
16 18 75907
25 15 64869
30 15 90787
13 18 31420
35 20 151503
30 20 123810
1 34 121746
23 28 70156
34 23 80079
21 33 143670
35 25 103383
33 16 17804
21 10 120473
19 33 89033
12 31 8125
33 37 108994
27 34 93666
15 3 120481
18 20 18586
9 1 110260
12 28 791
9 7 81952
3 5 176849
25 36 130216
25 19 82172
9 5 42853
10 29 134221
22 37 127066
16 29 125018
8 15 65156
34 5 100148
29 4 138696
28 18 7860
32 8 59659
25 20 83550
10 31 63822
29 25 117507
36 15 110545
25 4 21189
9 33 18471
23 10 60896
33 6 68556
35 18 158319
11 32 119685
2 36 132496
17 4 180185
33 32 79720
14 1 76579
25 16 10943
6 23 41143
34 2 41855
24 16 73259
5 23 51795
22 12 71395
10 9 69838
28 6 35153
16 21 147752
19 18 109346
32 17 132825
8 19 76290
15 6 3174
2 16 73184
12 3 87711
19 2 124329
8 17 160542
29 11 226878
8 20 96750
23 31 62603
13 27 112966
5 35 72140
20 36 143568
14 30 61229
2 23 76530
30 29 202081
23 37 122685
6 19 107982
20 10 55950
27 20 74730
18 17 173738
20 1 83494
34 17 157364
22 26 116300
9 13 84774
13 33 103245
2 21 86828
25 21 136809
3 22 127877
5 33 38104
19 7 137974
29 19 199679
31 5 97263
33 22 65157
27 11 126369
15 10 22927
27 8 23449
18 11 106400
28 13 39280
30 10 67860
4 28 70793
13 3 112062
6 21 100720
12 8 85233
31 21 72901
22 14 113391
20 22 71648
25 12 72033
2 4 77167
19 16 78575
13 17 142318
6 7 83116
22 36 71920
13 37 150040
20 19 127932
10 36 87618
3 33 152467
6 9 50085
28 35 150459
22 35 157105
5 15 90517
27 14 124523
11 30 107817
7 24 90330
16 37 91218
6 1 107921
11 3 144016
31 25 66020
21 22 136171
11 36 88059
1 5 95367
12 10 55697
25 1 98650
31 37 119676
18 14 141487
7 23 90894
17 20 192324
2 3 95625
31 29 135672
26 14 143926
6 16 66045
8 13 109584
10 8 87194
14 7 162758
31 7 89205
37 15 112680
36 35 129764
21 1 136753
10 11 155028
2 24 65210
5 8 25361
18 2 14983
16 20 94493
35 23 123935
29 20 139064
6 2 57996
30 12 123557
37 11 90411
11 24 142489
6 17 174094
14 20 158915
7 8 61684
1 16 87735
6 35 121654
36 14 80987
9 32 84469
37 27 112382
10 24 33315
20 6 36197
7 16 59399
25 37 102133
34 16 72502
21 20 76293
15 32 115047
18 10 62766
17 9 178034
8 31 79220
10 6 19753
23 3 142938
19 3 169085
20 15 33023
30 36 19758
12 9 60423
5 29 148750
11 17 154782
14 15 125892
17 28 181598
35 4 124572
36 8 143416
12 34 63907
1 30 129969
14 8 101074
28 2 22843
27 5 48810
6 34 99851
32 1 25791
23 26 61077
7 13 121681
2 20 33569
15 2 54822
29 17 283931
2 7 75278
11 31 107456
7 11 164604
25 26 63745
35 16 97937
17 31 174794
6 32 118221
26 31 36780
14 6 122718
19 5 50929
30 27 132494
16 28 83767
20 26 56422
4 20 76703
9 21 125199
34 35 170439
15 26 77675
1 33 105511
29 1 199524
21 11 164107
9 2 68337
19 1 44438
37 5 112650
12 37 111551
28 9 61214
1 15 104747
32 34 134446
8 3 158806
6 5 92938
2 22 93447
18 31 1056
33 29 124368
25 11 116120
26 34 19002
32 19 70229
21 30 188333
10 2 77749
19 26 145917
31 13 32476
7 26 98131
25 22 58296
35 10 141407
14 25 103401
36 13 168019
7 1 147134
35 14 155210
37 20 123068
19 21 181191
10 17 154341
25 6 61695
14 11 169046
33 2 86808
10 37 129259
1 12 71977
24 26 88063
7 22 118567
17 15 177268
3 10 143408
22 19 140468
30 17 86481
36 9 141826
Case #97: 31
16 4 333514
1 8 297453
13 6 254745
2 14 348733
15 5 147069
1 17 197909
13 5 493322
7 6 565086
7 10 394872
10 14 396002
8 3 263024
10 6 213681
11 14 215032
14 17 202740
18 2 811615
11 1 33905
6 4 403230
1 7 498411
6 1 389841
12 7 722122
2 17 237380
18 13 637048
6 2 429312
16 10 557153
7 15 669779
8 9 305570
17 11 231814
2 11 343568
6 5 451570
18 3 838454
12 13 403961
Case #98: Impossible
Case #99: 10
8 3 534626
5 1 549135
4 7 540510
4 2 422266
1 3 445385
2 1 187578
7 5 1698
6 5 246987
7 6 248685
6 2 668936
Case #100: 334
2 26 338204
36 31 205722
24 46 123773
9 20 159479
1 35 170909
34 42 266260
20 22 309593
18 28 344681
4 17 133286
10 47 147160
22 47 141038
21 49 31810
40 5 19764
25 29 47853
14 19 176255
29 44 139761
36 7 237597
13 34 116817
47 11 224880
27 10 123701
17 11 97106
14 22 275935
33 39 271781
16 26 298272
28 4 315967
26 34 309865
30 39 125143
30 26 270487
5 25 54381
14 29 250873
5 49 227918
44 4 141723
6 48 195517
30 47 261407
36 43 214859
46 8 152692
49 44 200523
35 9 93536
45 35 270349
5 4 119919
37 24 130713
5 38 128832
32 12 324489
38 50 67718
12 36 225802
19 12 195508
28 24 350384
12 8 103444
21 38 230863
31 44 89467
8 10 154661
33 50 270374
27 49 169340
36 34 224643
4 38 140253
38 19 179149
39 7 157095
45 39 211025
14 50 41924
15 29 138580
36 49 85728
46 42 271942
26 38 290660
21 41 266613
24 44 82879
47 5 194782
13 1 168419
8 24 221626
23 3 178870
12 2 25258
25 15 186433
7 22 248321
37 32 286287
4 15 243158
2 27 73924
11 1 161813
24 1 130488
32 29 331990
48 16 160173
8 42 263707
16 11 222908
42 32 250528
13 14 151161
44 5 125683
14 18 166953
40 8 130761
1 27 97187
15 31 265916
29 48 211173
31 16 249959
33 5 412144
40 38 148596
36 30 237865
7 45 213834
23 48 255780
44 30 78697
28 20 215872
39 38 66311
37 2 197711
34 9 136405
47 19 242835
7 48 166891
34 12 53597
13 22 280146
16 9 182146
35 4 194858
2 36 251060
37 14 203716
16 12 186826
8 1 181175
41 31 228765
10 9 141058
33 45 297338
29 5 102234
28 33 513806
40 32 249520
39 27 36598
16 35 253636
18 25 227303
3 37 163290
4 24 194101
25 20 197568
13 33 379611
49 40 210061
47 42 352179
16 7 208368
17 32 282651
26 18 357568
43 45 278725
27 19 149436
25 26 149078
32 27 248301
4 25 134772
49 1 230508
35 23 182798
5 8 150525
42 50 258680
45 34 220012
14 25 208838
22 31 288533
46 36 173263
10 19 152892
28 17 227283
39 43 261873
19 29 168130
45 50 212432
6 15 257549
14 45 254356
25 42 172041
27 30 88545
26 42 321119
28 29 276622
35 43 207938
16 2 161568
22 48 290000
40 7 77716
9 39 138788
5 6 146557
14 2 62683
14 9 170749
15 11 262915
38 24 63014
26 21 192291
3 7 203256
34 5 184874
48 12 113090
24 40 93946
17 25 1486
15 5 179176
50 44 69188
31 48 208482
24 42 217278
37 10 108091
36 10 171294
10 46 1969
41 42 278608
3 15 336866
17 2 201347
4 49 203870
6 35 150595
38 36 212254
43 37 147369
35 13 223568
12 24 191909
35 3 223859
23 21 177390
8 29 146969
21 6 115078
46 35 164058
19 13 78204
15 21 338346
5 12 159096
7 5 57952
32 36 265726
7 29 53261
25 9 38089
42 27 220675
8 18 215923
36 17 134997
46 9 139089
18 48 199692
21 27 201150
3 14 206549
27 7 136078
1 18 139096
50 4 72535
36 6 168996
27 6 124931
33 29 450779
29 34 216529
31 1 120651
48 50 123751
19 8 147209
26 46 250078
42 18 133651
27 47 235863
32 41 304956
45 15 195058
41 11 97517
34 15 178203
16 30 211891
48 9 198437
45 40 175646
5 3 219821
7 43 253605
32 6 263266
21 10 265771
13 50 109237
20 26 216711
37 21 164770
32 44 238453
15 7 191841
40 44 145447
27 5 158545
16 21 232229
19 15 220970
32 22 39387
8 11 147496
23 8 66280
26 7 250192
2 38 103637
26 50 317118
22 26 298132
22 34 254499
24 36 242047
11 39 110122
14 20 127498
28 34 251012
43 14 291796
12 41 92807
7 49 169966
4 1 189332
34 2 28339
48 15 237696
35 47 302073
28 10 263158
50 29 208949
32 3 146708
50 39 1407
37 22 246900
20 16 81561
11 19 243046
4 29 182625
42 19 370111
26 41 329709
18 13 158256
38 44 19865
31 4 211283
20 34 93154
46 3 265282
39 40 174097
19 48 210271
4 16 198184
36 25 136483
47 34 253655
15 1 235482
26 1 278561
16 40 158933
41 43 333122
45 8 295474
40 33 427904
29 24 176416
24 48 183121
14 44 111112
8 41 179202
6 43 178106
38 27 29713
23 5 178760
11 7 141691
8 22 219911
37 15 191555
26 32 337519
35 34 144888
18 36 232330
10 29 153794
21 45 184364
37 47 244137
2 35 173227
3 1 263798
16 33 391039
21 29 217745
1 16 129308
16 34 133229
8 37 93994
2 40 193449
29 39 210356
23 17 125865
